candidate,n_development_seeds,mean_last50_validation_activity,mean_final_step_qed,mean_final_step_mw_score,quality_eligible,selected
activity_heavy_1,3,0.3135900599338811,0.7018784804894179,0.9233129507027116,False,False
activity_heavy_2,3,0.32288137760130403,0.684868149882904,0.9261028631104172,False,False
activity_mw,3,0.3179366994496206,0.6707177118002219,0.9279408992802206,False,False
activity_qed,3,0.31314678204684815,0.7022054563492063,0.9342539652612434,False,False
equal,3,0.2896724954449245,0.6887750213346987,0.952043723792456,True,False
mw_heavy,3,0.3047008148474821,0.705107845568783,0.9413606981150793,True,False
qed_heavy,3,0.31016538922098136,0.6811055555555555,0.9434608326847584,True,True
