comparator,endpoint,n,mean_difference,median_difference,sample_sd,ci95_low,ci95_high,positive_count,negative_count,zero_count,sign_test_p,practical_threshold,mean_exceeds_threshold
circular_mean,ad_coverage,10,0.0025613830256396935,0.0028559800805985705,0.008586144864697078,-0.002509953567035803,0.007562784819509845,5,5,0,1.0,0.015,False
circular_mean,mpn_probability_ad_mean,10,-0.0003161953155856212,-0.008789538437971894,0.021904715047895346,-0.01211541864910392,0.013405501200337497,4,6,0,0.75390625,0.015,False
circular_mean,mpn_probability_all_valid_mean,10,0.00788109406496711,0.00850521556586678,0.009447941968797696,0.0022350075828100648,0.01333475114780483,7,3,0,0.34375,0.015,False
circular_mean,mw_target_score_mean,10,-0.0023835540139255152,-0.0013642831966269586,0.005344488843908873,-0.005803925731687818,0.0004429403560120813,2,8,0,0.109375,0.015,False
circular_mean,qed_mean,10,-0.004082088656785776,-0.0031117564878194726,0.006395092523852524,-0.008089756910895116,-0.0005818314832816473,3,7,0,0.34375,0.015,False
circular_mean,scaffold_diversity,10,0.003009932597126974,0.0046586807531752705,0.008282584575377554,-0.0018567968810303981,0.007799486032405034,6,4,0,0.75390625,0.015,False
circular_mean,svm_activity_mean,10,0.002361612212502151,0.0011963666036333975,0.010918413981981415,-0.0032729576387900876,0.009456953437901377,7,3,0,0.34375,0.015,False
circular_mean,uniqueness,10,-5.23283592081869e-05,5.2759312018590965e-05,0.0004367712759687685,-0.00031622635390009534,0.00019024541161829082,5,4,1,1.0,0.015,False
circular_mean,validity,10,-0.0001770833333333166,-0.0005208333333332482,0.0035698260982733277,-0.002208333333333301,0.0019479166666666603,3,7,0,0.34375,0.015,False
cross_seed,ad_coverage,10,0.0031375476246938753,0.007293207407175168,0.00735641965000209,-0.0015326113670332832,0.00700706702113073,7,3,0,0.34375,0.015,False
cross_seed,mpn_probability_ad_mean,10,-0.004297175145882065,-0.0028166677403196616,0.03109832658194959,-0.02179237104459774,0.014741616856345669,4,6,0,0.75390625,0.015,False
cross_seed,mpn_probability_all_valid_mean,10,0.0066863927790232645,0.0010685838877520504,0.01440955723088987,-0.0009058458020253901,0.015957371210923076,5,5,0,1.0,0.015,False
cross_seed,mw_target_score_mean,10,-6.010790162909174e-05,-0.0012339769625416275,0.006043195590198288,-0.003494603221859411,0.003605144617289546,5,5,0,1.0,0.015,False
cross_seed,qed_mean,10,0.004442189028609667,0.0020465812035030395,0.009333778863270057,-0.00025649813619759777,0.01053546322041358,7,3,0,0.34375,0.015,False
cross_seed,scaffold_diversity,10,0.0010118249141448765,0.003331396260390418,0.009324714663672183,-0.004625458822563871,0.0062267556609043265,7,3,0,0.34375,0.015,False
cross_seed,svm_activity_mean,10,-0.00419454700277011,-0.0027471192064114636,0.018249656853406165,-0.014808261090586325,0.006595139557451071,4,6,0,0.75390625,0.015,False
cross_seed,uniqueness,10,-0.00012611241448591272,-0.0001571292648088196,0.00030598014102654815,-0.00031582640131834206,6.377227616315429e-05,2,5,3,0.453125,0.015,False
cross_seed,validity,10,0.0011250000000000092,0.00093749999999998,0.0033599200139289086,-0.0009062499999999863,0.0030312500000000296,7,3,0,0.34375,0.015,False
frozen_equal,ad_coverage,10,0.0005783067498637267,0.0015132672785433156,0.01041882373923716,-0.005652676638613705,0.006530392257674225,6,4,0,0.75390625,0.015,False
frozen_equal,mpn_probability_ad_mean,10,0.009065319659402498,0.003382111155675105,0.033072050402452466,-0.009188547295813497,0.029422394023234575,5,5,0,1.0,0.015,False
frozen_equal,mpn_probability_all_valid_mean,10,0.005758729912658989,0.005222903966516174,0.01144066966500302,-0.0010779155979908973,0.012350307665809697,8,2,0,0.109375,0.015,False
frozen_equal,mw_target_score_mean,10,-0.003138101066131993,8.871128176307641e-05,0.008342940395537565,-0.00834676977459702,0.0013962383811344015,5,5,0,1.0,0.015,False
frozen_equal,qed_mean,10,-0.0025027684554387196,-0.0017423705736642203,0.007199006897399172,-0.0067901762066633255,0.0016537879562416836,3,7,0,0.34375,0.015,False
frozen_equal,scaffold_diversity,10,0.005312201827686791,0.002892713256378132,0.012451842722955395,-0.0016393203361060426,0.01295538965191213,7,3,0,0.34375,0.015,False
frozen_equal,svm_activity_mean,10,-0.000605526468129014,-0.0027064414288155703,0.011411971344535648,-0.007234669321693313,0.006215714872286976,4,6,0,0.75390625,0.015,False
frozen_equal,uniqueness,10,6.938404547573996e-08,0.0,0.00047127569135548865,-0.0002843125781251024,0.0002844501518193526,4,4,2,1.0,0.015,False
frozen_equal,validity,10,-0.0005000000000000004,-0.0017187499999999911,0.004050998676595435,-0.002625000000000022,0.0020632812499998617,3,7,0,0.34375,0.015,False
