endpoint,real_mean,real_sd,circular_mean_mean,circular_mean_sd,cross_seed_mean,cross_seed_sd,frozen_equal_mean,frozen_equal_sd,frozen_tuned_mean,frozen_tuned_sd
svm_activity_mean,0.3106304204600458,0.009665928006562453,0.30826880824754366,0.009048392815666467,0.3148249674628159,0.013817516150087934,0.3112359469281748,0.012495631730590118,0.2975349046727088,0.0107391282536656
mpn_probability_all_valid_mean,0.5021162940182149,0.009665078008063,0.49423519995324783,0.0067232876834883255,0.4954299012391917,0.00862369993621069,0.4963575641055559,0.00858914457516664,0.49382366105832487,0.011379880631696532
mpn_probability_ad_mean,0.4656367256598183,0.026582100430146763,0.4659529209754039,0.012869963534584233,0.46993390080570036,0.02095733786857472,0.4565714060004158,0.019125321015695647,0.4699777565950813,0.023376534953096374
ad_coverage,0.04385239915391353,0.00831025884593974,0.041291016128273836,0.0034773618209785213,0.04071485152921965,0.006690056629060752,0.0432740924040498,0.007524742722685292,0.0458509211221147,0.00707039641092481
qed_mean,0.6852142371552874,0.0060751989428425406,0.6892963258120731,0.006982535682234261,0.6807720481266777,0.008042030510590076,0.6877170056107261,0.005826105859766814,0.7041736499337142,0.0059675043125075045
mw_target_score_mean,0.9368682136887164,0.004265977231476287,0.939251767702642,0.003907027186162322,0.9369283215903454,0.00629429397475758,0.9400063147548484,0.005890384930953565,0.9392934542101133,0.004794822466305933
validity,0.98665625,0.003554053095098299,0.9868333333333333,0.001775389020141662,0.98553125,0.0020361852438376465,0.98715625,0.002440480727347689,0.986875,0.001717960677340689
uniqueness,0.9997471042426753,0.00032632608619472106,0.9997994326018835,0.00019577790571073745,0.9998732166571612,0.00022142804306733311,0.9997470348586299,0.00029065879625045707,0.9996835035099859,0.00021090461739779065
scaffold_diversity,0.9486233668251515,0.005783991922973726,0.9456134342280246,0.005758640667250387,0.9476115419110066,0.007328131825989657,0.9433111649974647,0.009055651157164675,0.9419305946790884,0.007380726843237013
