component,n_pairs,checkpoint_mae,abs_score_mean_difference,lag1_acf_gap,delta_ks,abs_decline_event_difference,phase_mean_abs_gap,abs_slope_difference
overall,10,0.02951367822212783,0.007300680578630088,0.2577661900507966,0.23809523809523814,1.2666666666666666,0.01264652622468864,0.0016950283827923483
DRD2_activity,10,0.02903524956327272,0.009257265272105875,0.2715249676917096,0.2571428571428572,1.2,0.014037701235328007,0.0013419870707319175
Molecular weight,10,0.034583333333333334,0.006875000000000009,0.2946109336775667,0.22142857142857145,0.8,0.01541666666666667,0.002890625
QED,10,0.02492245176977744,0.0057697764637843815,0.20716266878311348,0.2357142857142857,1.8,0.008485210772071244,0.0008524730776451273
