comparator,endpoint,seed,real,comparison,difference
circular_mean,svm_activity_mean,6101,0.32280043607506087,0.3179457631339983,0.0048546729410625655
circular_mean,svm_activity_mean,6102,0.300773742295454,0.31098434827989485,-0.010210605984440846
circular_mean,svm_activity_mean,6103,0.29880716574861604,0.30264761794357464,-0.003840452194958599
circular_mean,svm_activity_mean,6104,0.30555026107993755,0.31460882688766817,-0.009058565807730623
circular_mean,svm_activity_mean,6105,0.31110538772441787,0.3099753358488427,0.0011300518755751887
circular_mean,svm_activity_mean,6106,0.2988025093501646,0.2953175167057356,0.0034849926444290302
circular_mean,svm_activity_mean,6107,0.3196181123627447,0.3136128876140915,0.006005224748653171
circular_mean,svm_activity_mean,6108,0.3216142061880001,0.2924193710009815,0.029194835187018597
circular_mean,svm_activity_mean,6109,0.3076733882389753,0.30641070690728367,0.0012626813316916063
circular_mean,svm_activity_mean,6110,0.31955899553708694,0.3187657081533655,0.0007932873837214194
circular_mean,mpn_probability_all_valid_mean,6101,0.5066507695517826,0.49153664981824313,0.015114119733539433
circular_mean,mpn_probability_all_valid_mean,6102,0.4999200236028868,0.5014032911302079,-0.001483267527321086
circular_mean,mpn_probability_all_valid_mean,6103,0.4874675074750079,0.4891762722559601,-0.001708764780952221
circular_mean,mpn_probability_all_valid_mean,6104,0.4977524910529028,0.49386072941908665,0.00389176163381616
circular_mean,mpn_probability_all_valid_mean,6105,0.4968780316896835,0.4917136124069037,0.005164419282779775
circular_mean,mpn_probability_all_valid_mean,6106,0.5009348938702319,0.482897301708516,0.01803759216171591
circular_mean,mpn_probability_all_valid_mean,6107,0.5217021190584131,0.5059052215208975,0.015796897537515675
circular_mean,mpn_probability_all_valid_mean,6108,0.5046628469434219,0.4928168350944681,0.011846011848953786
circular_mean,mpn_probability_all_valid_mean,6109,0.49358819334507376,0.5009295027740445,-0.00734130942897071
circular_mean,mpn_probability_all_valid_mean,6110,0.511606063592745,0.4921125834041506,0.01949348018859437
circular_mean,mpn_probability_ad_mean,6101,0.46520492819289566,0.4618335378043572,0.0033713903885384533
circular_mean,mpn_probability_ad_mean,6102,0.47160112159670287,0.48190523809480806,-0.010304116498105198
circular_mean,mpn_probability_ad_mean,6103,0.4389928737883228,0.46112595433543024,-0.022133080547107442
circular_mean,mpn_probability_ad_mean,6104,0.43894830953861985,0.46144793431838554,-0.022499624779765692
circular_mean,mpn_probability_ad_mean,6105,0.4958306457607678,0.46371422523057565,0.03211642053019215
