component,n_pairs,checkpoint_mae,abs_score_mean_difference,lag1_acf_gap,delta_ks,abs_decline_event_difference,phase_mean_abs_gap,abs_slope_difference
overall,10,0.0295136782221278,0.00730068057863,0.2577661900507966,0.2380952380952381,1.2666666666666666,0.0126465262246886,0.0016950283827923
DRD2_activity,10,0.0290352495632727,0.0092572652721058,0.2715249676917096,0.2571428571428572,1.2,0.014037701235328,0.0013419870707319
Molecular weight,10,0.0345833333333333,0.006875,0.2946109336775667,0.2214285714285714,0.8,0.0154166666666666,0.002890625
QED,10,0.0249224517697774,0.0057697764637843,0.2071626687831134,0.2357142857142857,1.8,0.0084852107720712,0.0008524730776451
