seed,frozen_tail_qed,real_tail_qed,real_minus_frozen_qed,frozen_final_qed_weight,real_final_qed_weight,real_qed_actions_by_10,frozen_validity,real_validity,frozen_uniqueness,real_uniqueness
5201,0.5249421861398089,0.6588819866119988,0.1339398004721899,0.5,0.8175744761936437,6,0.9846875,0.9890625,1.0,1.0
5202,0.5216934727044971,0.646706216010908,0.125012743306411,0.5,0.8175744761936437,6,0.9753125,0.985,1.0,1.0
5203,0.5357698371212136,0.678904668028659,0.1431348309074454,0.5,0.8807970779778824,7,0.9809375,0.9871875,1.0,0.9996834441278886
5204,0.5568405765939946,0.6550660577165714,0.0982254811225769,0.5,0.8519528019683105,7,0.9815625,0.98125,1.0,1.0
5205,0.540249094338405,0.668896976666736,0.128647882328331,0.5,0.8807970779778824,8,0.976875,0.9915625,1.0,0.9993696816892532
