comparator,endpoint,seed,real,comparison,difference
circular_mean,svm_activity_mean,6101,0.3228004360750608,0.3179457631339983,0.0048546729410625
circular_mean,svm_activity_mean,6102,0.300773742295454,0.3109843482798948,-0.0102106059844408
circular_mean,svm_activity_mean,6103,0.298807165748616,0.3026476179435746,-0.0038404521949585
circular_mean,svm_activity_mean,6104,0.3055502610799375,0.3146088268876681,-0.0090585658077306
circular_mean,svm_activity_mean,6105,0.3111053877244178,0.3099753358488427,0.0011300518755751
circular_mean,svm_activity_mean,6106,0.2988025093501646,0.2953175167057356,0.003484992644429
circular_mean,svm_activity_mean,6107,0.3196181123627447,0.3136128876140915,0.0060052247486531
circular_mean,svm_activity_mean,6108,0.3216142061880001,0.2924193710009815,0.0291948351870185
circular_mean,svm_activity_mean,6109,0.3076733882389753,0.3064107069072836,0.0012626813316916
circular_mean,svm_activity_mean,6110,0.3195589955370869,0.3187657081533655,0.0007932873837214
circular_mean,mpn_probability_all_valid_mean,6101,0.5066507695517826,0.4915366498182431,0.0151141197335394
circular_mean,mpn_probability_all_valid_mean,6102,0.4999200236028868,0.5014032911302079,-0.001483267527321
circular_mean,mpn_probability_all_valid_mean,6103,0.4874675074750079,0.4891762722559601,-0.0017087647809522
circular_mean,mpn_probability_all_valid_mean,6104,0.4977524910529028,0.4938607294190866,0.0038917616338161
circular_mean,mpn_probability_all_valid_mean,6105,0.4968780316896835,0.4917136124069037,0.0051644192827797
circular_mean,mpn_probability_all_valid_mean,6106,0.5009348938702319,0.482897301708516,0.0180375921617159
circular_mean,mpn_probability_all_valid_mean,6107,0.5217021190584131,0.5059052215208975,0.0157968975375156
circular_mean,mpn_probability_all_valid_mean,6108,0.5046628469434219,0.4928168350944681,0.0118460118489537
circular_mean,mpn_probability_all_valid_mean,6109,0.4935881933450737,0.5009295027740445,-0.0073413094289707
circular_mean,mpn_probability_all_valid_mean,6110,0.511606063592745,0.4921125834041506,0.0194934801885943
circular_mean,mpn_probability_ad_mean,6101,0.4652049281928956,0.4618335378043572,0.0033713903885384
circular_mean,mpn_probability_ad_mean,6102,0.4716011215967028,0.481905238094808,-0.0103041164981051
circular_mean,mpn_probability_ad_mean,6103,0.4389928737883228,0.4611259543354302,-0.0221330805471074
circular_mean,mpn_probability_ad_mean,6104,0.4389483095386198,0.4614479343183855,-0.0224996247797656
circular_mean,mpn_probability_ad_mean,6105,0.4958306457607678,0.4637142252305756,0.0321164205301921
circular_mean,mpn_probability_ad_mean,6106,0.4282688579735166,0.4390432165242175,-0.0107743585507008
circular_mean,mpn_probability_ad_mean,6107,0.4629984212821815,0.4599149938270199,0.0030834274551616
circular_mean,mpn_probability_ad_mean,6108,0.5161861617587448,0.4731066003783868,0.0430795613803579
circular_mean,mpn_probability_ad_mean,6109,0.4709526066417147,0.4827792187983034,-0.0118266121565886
circular_mean,mpn_probability_ad_mean,6110,0.4673833300647161,0.4746582904425547,-0.0072749603778385
